,Year,Month,Monthly Real GDP Index (inMillion$),CPI,unemployment rate,Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Exports,has_christmas,OtherClothing
27,2011,4,15050.6611720031,246.489,9.1,22.96,216.62,-5.68,15.28,0,985.0
28,2011,5,14990.9638155792,248.073,9.0,23.06,165.52,-23.59,15.02,0,1027.0
29,2011,6,14927.332731337,248.505,9.1,22.81,160.65,-2.94,12.4,0,1027.0
30,2011,7,15011.7614106743,249.164,9.0,22.94,149.25,-7.1,11.325,0,985.0
31,2011,8,15085.2292553138,250.058,9.0,22.85,114.1,-23.55,11.65,0,1001.0
32,2011,9,14966.8228660961,250.559,9.0,23.05,116.65,2.23,11.325,0,930.0
33,2011,10,15249.7634842258,250.051,8.8,23.3,110.61,-5.18,10.825,0,1020.0
34,2011,11,15172.6925598969,249.317,8.6,23.15,104.68,-5.36,10.625,0,1147.0
35,2011,12,15148.8221953324,248.307,8.5,23.22,95.45,-8.82,10.65,1,1596.0
36,2012,1,15226.2046784787,249.322,8.3,23.56,101.11,5.93,10.35,0,1039.0
37,2012,2,15385.8470175993,250.285,8.3,23.4,100.75,-0.36,10.35,0,1039.0
38,2012,3,15261.3405819789,251.887,8.2,23.39,99.5,-1.24,10.35,0,1229.0
39,2012,4,15340.6535798089,252.349,8.2,23.61,100.1,0.6,10.75,0,1136.0
40,2012,5,15354.6505826443,252.652,8.2,23.32,88.53,-11.56,10.75,0,1155.0
41,2012,6,15392.2492751784,252.406,8.2,23.27,82.18,-7.17,11.1,0,1205.0
42,2012,7,15433.3698674452,252.016,8.2,23.48,83.97,2.18,11.4,0,1049.0
43,2012,8,15317.4241933126,253.472,8.1,23.26,84.4,0.51,11.375,0,1124.0
44,2012,9,15391.8773100951,254.554,7.8,23.67,84.15,-0.3,11.075,0,1045.0
45,2012,10,15292.3498602317,254.277,7.8,23.52,81.95,-2.61,10.875,0,1158.0
46,2012,11,15362.0978554107,254.285,7.7,23.58,80.87,-1.32,10.875,0,1252.0
47,2012,12,15498.6520671036,253.555,7.9,23.85,83.37,3.09,11.075,1,1475.0
48,2013,1,15554.4268779799,254.807,8.0,23.88,85.51,2.57,11.475,0,1036.0
49,2013,2,15435.6751031323,256.234,7.7,23.9,89.71,4.91,11.75,0,1144.0
50,2013,3,15485.7382618001,256.589,7.5,23.84,94.45,5.28,12.0,0,1346.0
51,2013,4,15529.8356959387,255.967,7.6,23.92,92.54,-2.02,12.225,0,1188.0
52,2013,5,15450.318635209,256.27,7.5,23.8,92.62,0.09,12.45,0,1194.0
53,2013,6,15584.747527855,256.911,7.5,23.92,93.08,0.5,10.35,0,1261.0
54,2013,7,15606.008068178,257.326,7.3,23.81,92.62,-0.49,10.35,0,1126.0
55,2013,8,15673.4399705102,257.659,7.3,23.8,92.71,0.1,13.38,0,1311.0
56,2013,9,15644.8322684107,258.504,7.2,24.16,90.09,-2.83,9.65,0,1043.0
57,2013,10,15729.9593664586,257.069,7.2,24.04,89.35,-0.82,9.65,0,1043.0
58,2013,11,15841.7587619459,257.377,6.9,24.11,84.65,-5.26,9.65,0,1209.0
59,2013,12,15810.4101820915,257.284,6.7,24.3,87.49,3.35,9.65,1,1566.0
