Year,Month,Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,PartyInPower,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,AdvertisingExpenses (in Thousand Dollars),Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports
2013,11,17053.7381074546,15841.7587619459,257.377,Democrats,6.9,11.85,10.22,24.11,?,84.65,-5.26,10.136,7.582,790,12.479,3.58,9.65
2013,12,17061.0710766589,15810.4101820915,257.284,Democrats,6.7,11.85,10.22,24.3,?,87.49,3.35,10.136,7.582,788,12.443,3.58,9.65
2014,1,16955.6086260419,15705.9726665754,259.596,Democrats,6.6,11.85,10.22,24.35,?,90.96,3.97,10.206,7.465,807,12.551,3.58,9.75
2014,2,17028.5863480232,15762.5989199868,259.019,Democrats,6.7,11.83,10.09,24.58,?,94.05,3.4,10.206,7.465,807,12.551,3.58,9.75
2014,3,17109.7770258219,15804.5190679663,259.971,Democrats,6.7,11.83,10.09,24.5,?,96.95,3.08,10.206,7.465,807,12.551,3.58,9.95
2014,4,17208.8646835022,15870.1780534192,259.985,Democrats,6.2,11.83,10.09,24.4,?,94.2,-2.84,10.206,7.465,787,12.234,3.58,9.975
2014,5,17345.3340279535,15946.7413358487,261.225,Democrats,6.3,11.83,9.57,24.3,?,92.71,-1.58,10.206,7.345,802,12.275,3.58,9.675
2014,6,17408.5642886561,15990.9774182691,261.35,Democrats,6.1,11.83,9.57,24.42,?,90.9,-1.95,10.943,8.594,811,14.512,3.675,9.22
2014,7,17551.7810654546,16089.4991872348,261.498,Democrats,6.2,11.83,9.57,24.31,?,83.84,-7.77,11.191,8.594,804,15.955,3.775,9.72
2014,8,17684.6353487167,16196.4201317793,261.075,Democrats,6.2,11.82,10.73,24.32,?,74.0,-11.74,11.191,10.065,808,16.946,3.775,10.15
2014,9,17630.3545858248,16133.04942679,261.074,Democrats,5.9,11.82,10.73,24.5,?,73.38,-0.84,10.818,9.692,790,15.96,3.775,9.45
2014,10,17709.436966528,16196.8144741713,260.5,Democrats,5.7,11.82,10.73,24.52,?,70.34,-4.14,10.818,9.692,776,15.677,3.775,9.45
2014,11,17765.3375697651,16243.0547343862,259.382,Democrats,5.8,11.99,10.47,24.78,?,67.53,-3.99,10.818,9.692,783,15.819,3.775,9.45
2014,12,17733.0244635913,16221.1801252161,258.08,Democrats,5.6,11.99,10.47,24.59,?,68.3,1.14,10.818,9.692,760,15.345,3.775,9.45
